"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR009","DHMR010","DHMR011","DHMR012"
"0610005C13Rik",1,4,11,6,13,6,14,8
"0610007P14Rik",668,1487,1491,1352,1490,1371,1364,1434
"0610009B22Rik",493,908,1023,1002,977,1025,1029,1048
"0610009L18Rik",12,29,37,34,33,57,46,33
"0610009O20Rik",820,1380,1526,1462,1407,1327,1410,1406
"0610010F05Rik",425,1150,686,879,1017,1058,885,1068
"0610010K14Rik",649,1065,1172,1183,1128,1066,1098,1144
"0610011F06Rik",223,422,497,428,394,403,379,430
"0610012G03Rik",214,452,440,409,401,475,467,436
"0610030E20Rik",486,965,1113,1126,967,1043,1059,1123
"0610037L13Rik",611,1151,1350,1241,1160,1066,1064,1225
"0610038B21Rik",6,6,10,11,13,10,11,11
"0610039K10Rik",3,1,0,2,0,2,1,0
"0610040B10Rik",15,17,31,24,13,41,28,18
"0610040F04Rik",1,1,0,1,1,0,0,0
"0610040J01Rik",0,3,1,0,0,14,7,0
"0610043K17Rik",1,2,0,2,2,5,5,2
"1010001N08Rik",2,3,0,2,1,1,1,0
"1110001J03Rik",89,136,169,171,144,133,129,125
"1110002L01Rik",48,76,69,89,67,85,83,76
"1110004E09Rik",346,615,869,720,741,674,797,850
"1110004F10Rik",1761,2944,3672,3431,3117,2732,2946,3231
"1110006O24Rik",3,8,11,9,9,6,10,12
"1110007C09Rik",696,1535,1462,1293,1445,1684,1895,1679
"1110008F13Rik",773,1219,1392,1262,1206,1311,1534,1481
"1110008L16Rik",387,730,692,730,742,754,735,767
"1110008P14Rik",406,830,913,751,779,868,940,930
"1110012L19Rik",450,881,1156,918,897,941,1211,1042
"1110017D15Rik",1,4,2,4,7,4,2,8
"1110019D14Rik",78,112,88,127,140,157,111,97
"1110020A21Rik",4,18,20,7,21,19,16,10
"1110032A03Rik",165,305,368,316,304,310,333,335
"1110034G24Rik",82,168,163,150,164,198,206,206
"1110037F02Rik",1802,3832,3273,3838,4013,3810,3424,3551
"1110038B12Rik",960,1973,2108,1841,1993,2119,2651,2564
"1110038F14Rik",605,1063,1143,1118,1049,1084,1053,1161
"1110046J04Rik",130,218,213,203,177,212,233,228
"1110051M20Rik",889,1663,1737,1653,1678,1736,1568,1540
"1110059E24Rik",703,1177,1275,1390,1290,1102,1093,1263
"1110059G10Rik",277,674,552,688,689,727,586,729
"1110065P20Rik",227,315,379,356,335,287,318,335
"1190002F15Rik",69,95,111,119,93,68,51,64
"1190002N15Rik",2748,7115,5122,6898,6400,7231,5442,5237
"1190005I06Rik",9,3,2,7,2,5,5,6
"1190007I07Rik",51,71,72,76,65,88,90,81
"1200014J11Rik",1045,1881,1931,2130,2139,2027,1873,1903
"1300002E11Rik",111,222,248,242,272,358,334,283
"1300017J02Rik",0,3,2,2,4,2,1,3
"1500004A13Rik",32,86,78,94,77,87,90,86
"1500009C09Rik",0,1,1,0,1,2,1,0
"1500009L16Rik",12,27,27,20,24,14,12,14
"1500011B03Rik",118,245,340,265,247,309,388,378
"1500011K16Rik",229,451,601,484,453,458,515,567
"1500012F01Rik",924,1830,1946,1881,1706,1901,2404,2429
"1500012K07Rik",0,4,0,1,3,5,1,5
"1500015A07Rik",12,24,79,59,34,42,62,90
"1500015O10Rik",34,36,49,47,34,10,5,29
"1500017E21Rik",37,111,86,60,103,142,103,101
"1500026H17Rik",1,1,1,1,3,3,0,0
"1600002D24Rik",1,0,0,1,0,0,0,1
"1600002H07Rik",204,332,355,372,321,319,351,373
"1600002K03Rik",107,249,190,208,217,231,264,228
"1600012H06Rik",884,1732,1765,1894,1811,2005,1887,1941
"1600014C10Rik",383,841,782,675,771,853,977,778
"1600014C23Rik",1,1,0,1,3,1,2,3
"1600020E01Rik",114,174,234,213,171,199,243,254
"1600023N17Rik",0,4,5,2,1,1,4,2
"1600025M17Rik",0,1,1,0,0,2,0,0
"1600027J07Rik",10,4,16,22,5,3,1,3
"1700001C19Rik",2,0,2,2,2,0,2,2
"1700001G11Rik",0,6,9,3,6,8,8,4
"1700001G17Rik",4,4,7,6,11,5,8,3
"1700001K19Rik",8,5,9,12,0,7,11,6
"1700001K23Rik",1,1,1,2,3,4,1,2
"1700001L05Rik",17,49,35,37,83,71,74,68
"1700001L19Rik",4,4,11,6,3,4,5,5
"1700001O22Rik",6,9,10,9,9,20,13,14
"1700001P01Rik",0,0,4,2,3,2,2,2
"1700003E16Rik",62,135,99,108,115,144,137,112
"1700003F12Rik",26,98,63,50,85,122,125,76
"1700003G18Rik",0,1,1,1,1,1,1,0
"1700003M02Rik",1,3,5,8,4,2,5,4
"1700006H21Rik",0,0,2,1,0,0,1,1
"1700007G11Rik",3,5,4,3,5,6,9,4
"1700007J10Rik",11,20,36,33,18,14,37,30
"1700007K09Rik",0,0,4,1,1,0,1,1
"1700007K13Rik",6,14,10,12,18,15,16,8
"1700007L15Rik",22,47,46,42,39,32,39,42
"1700008J07Rik",9,17,20,19,23,17,14,12
"1700008O03Rik",0,1,3,0,2,0,2,1
"1700009N14Rik",3,10,3,3,12,7,3,5
"1700011A15Rik",0,0,0,0,1,1,2,0
"1700011E24Rik",0,3,1,0,0,1,1,0
"1700011I03Rik",2,6,10,3,2,7,4,10
"1700011L22Rik",0,2,1,0,1,0,0,0
"1700012B07Rik",0,3,4,0,9,0,1,3
"1700012B09Rik",33,70,120,87,71,87,142,138
"1700012D01Rik",9,23,22,26,36,19,27,27
"1700012D14Rik",1,7,10,3,7,9,4,13
"1700012H19Rik",1,2,2,1,0,3,2,0
"1700013F07Rik",1,6,2,2,1,4,4,6
"1700013G24Rik",5,10,12,8,6,3,3,6
"1700013H16Rik",1,0,0,2,3,1,2,1
"1700015E13Rik",0,0,1,1,2,1,0,0
"1700015F17Rik",1,0,1,2,0,0,2,1
"1700016C15Rik",0,1,0,0,1,0,0,1
"1700016D06Rik",0,0,3,0,1,5,5,2
"1700017B05Rik",1642,3085,2830,2962,2940,3158,3544,3313
"1700018A04Rik",5,5,11,14,12,14,11,14
"1700018B08Rik",2,1,0,2,0,0,0,0
"1700018C11Rik",0,0,0,1,0,2,1,1
"1700018L02Rik",1,2,7,2,1,5,3,0
"1700019A02Rik",1,0,0,0,0,1,0,1
"1700019B03Rik",1,0,0,1,1,2,2,0
"1700019D03Rik",0,1,0,0,2,2,0,1
"1700019G17Rik",6,25,21,13,22,23,30,15
"1700019G24Rik",1,0,0,1,1,1,1,0
"1700019L03Rik",77,138,137,130,117,182,294,231
"1700019N19Rik",0,1,1,1,1,0,0,0
"1700020A23Rik",0,1,3,0,0,2,1,4
"1700020D05Rik",0,3,4,0,8,3,6,5
"1700020I14Rik",566,1175,931,1039,1159,1037,904,949
"1700020L24Rik",107,228,236,180,190,268,311,248
"1700020N01Rik",2,0,1,2,1,1,1,0
"1700021F05Rik",626,972,1175,1103,1058,1062,961,1037
"1700021K19Rik",1573,2978,3064,2999,2879,2911,2980,2890
"1700022H01Rik",0,2,2,2,0,2,3,3
"1700022I11Rik",0,0,0,0,2,1,1,0
"1700023F06Rik",0,1,3,0,4,1,1,4
"1700024P16Rik",27,58,31,54,61,52,47,50
"1700025F24Rik",0,4,2,1,1,3,3,3
"1700025G04Rik",403,656,505,749,637,592,524,590
"1700026D08Rik",12,53,37,29,56,61,123,105
"1700026J14Rik",0,1,1,2,0,2,1,0
"1700026L06Rik",3,2,9,7,2,14,9,10
"1700027A15Rik",0,0,1,0,0,1,2,0
"1700028E10Rik",3,3,1,4,3,3,3,5
"1700028I16Rik",6,5,5,10,2,5,9,5
"1700028J19Rik",13,22,21,19,23,21,24,19
"1700028K03Rik",2,8,6,10,12,24,16,8
"1700029I15Rik",7,13,13,11,9,9,12,18
"1700029J03Rik",14,22,17,17,10,5,9,19
"1700029J07Rik",15,53,23,32,37,48,41,37
"1700030F04Rik",1,1,3,2,1,2,2,0
"1700030F18Rik",2,1,3,3,3,3,4,4
"1700030J22Rik",61,109,85,106,104,119,113,112
"1700030K09Rik",277,517,482,467,505,532,536,459
"1700030L20Rik",0,0,0,1,0,1,1,0
"1700031A10Rik",4,8,11,9,8,10,10,8
"1700034E13Rik",2,2,2,2,7,4,5,4
"1700034H15Rik",0,1,2,0,1,1,6,1
"1700034P13Rik",5,2,5,4,2,7,4,1
"1700037C18Rik",36,76,77,74,63,66,60,58
"1700037H04Rik",617,1352,1254,1219,1261,1393,1602,1359
"1700042O10Rik",3,2,6,7,2,3,1,8
"1700048M11Rik",9,9,16,14,10,15,12,14
"1700048O20Rik",0,1,2,0,2,1,0,1
"1700049G17Rik",114,271,233,278,274,303,257,300
"1700052K11Rik",155,248,276,288,245,286,262,257
"1700056E22Rik",13,30,19,17,35,33,31,15
"1700057G04Rik",0,2,0,1,0,0,0,1
"1700061G19Rik",4,18,12,12,11,18,10,8
"1700061I17Rik",0,1,2,1,0,1,3,1
"1700063D05Rik",1,1,0,2,0,3,0,0
"1700065J18Rik",10,12,14,16,12,9,9,18
"1700066B19Rik",2,1,3,3,0,1,0,4
"1700066M21Rik",364,762,559,749,771,758,574,654
"1700067K01Rik",3,10,23,11,12,9,19,16
"1700071M16Rik",0,1,1,2,2,1,0,1
"1700073E17Rik",1,3,0,1,0,0,0,1
"1700084E18Rik",1,0,3,5,2,3,5,6
"1700086L19Rik",0,1,1,3,2,2,2,0
"1700086O06Rik",7,8,18,20,16,13,14,21
"1700088E04Rik",26,35,33,29,45,40,34,41
"1700092C10Rik",0,1,3,1,1,3,1,0
"1700092M07Rik",3,3,7,3,1,3,3,0
"1700093K21Rik",36,84,46,61,69,88,79,51
"1700094D03Rik",50,94,103,111,105,149,147,145
"1700096K18Rik",14,27,38,32,39,57,65,51
"1700101E01Rik",1,6,0,1,6,2,4,1
"1700101I11Rik",5,9,11,10,10,9,9,8
"1700102H20Rik",1,4,5,4,2,5,1,2
"1700102P08Rik",13,18,22,22,15,11,11,15
"1700105P06Rik",0,1,3,2,0,1,2,2
"1700108F19Rik",5,5,6,13,9,13,5,12
"1700109G14Rik",0,2,0,0,1,1,0,0
"1700109H08Rik",7,21,10,16,11,20,12,20
"1700109K24Rik",33,104,84,102,101,61,93,71
"1700110C19Rik",0,0,2,2,0,1,1,4
"1700112E06Rik",40,68,99,87,57,83,104,90
"1700112H15Rik",5,5,3,6,5,8,1,4
"1700112J16Rik",0,2,3,1,1,5,4,1
"1700113A16Rik",388,599,713,664,579,720,646,676
"1700116B05Rik",1,0,1,1,1,1,1,1
"1700119H24Rik",1,1,1,1,0,3,2,1
"1700120C14Rik",3,2,10,4,7,6,4,3
"1700120K04Rik",9,28,23,17,16,23,11,14
"1700123K08Rik",1,0,1,1,0,0,0,0
"1700123M08Rik",21,60,40,39,46,49,43,38
"1700123O20Rik",694,1222,1416,1308,1159,1175,1314,1481
"1700124L16Rik",1,1,2,2,1,1,3,6
"1700125H03Rik",2,5,4,1,7,3,8,5
"1700125H20Rik",0,1,1,1,0,0,0,0
"1700128A07Rik",1,0,0,2,1,0,0,1
"1810008I18Rik",0,3,0,1,0,2,3,1
"1810009A15Rik",0,0,0,1,0,1,2,0
"1810010H24Rik",17,32,27,28,27,38,36,36
"1810011O10Rik",93,151,190,170,202,170,164,218
"1810012K16Rik",0,2,2,4,0,1,0,3
"1810013L24Rik",1215,2390,2698,2640,2477,2598,2508,2605
"1810014B01Rik",46,111,123,116,116,112,107,117
"1810019D21Rik",1,1,4,1,3,0,2,2
"1810020O05Rik",0,7,1,3,4,1,2,1
"1810021B22Rik",30,42,49,46,45,53,51,61
"1810022K09Rik",502,1058,967,1025,1124,1116,969,958
"1810024B03Rik",4,8,15,10,17,14,10,11
"1810026B05Rik",184,317,328,389,371,375,364,359
"1810026J23Rik",1628,3150,3769,3228,3094,3123,3211,3356
"1810030O07Rik",1050,2254,2108,2103,2258,2451,2424,2319
"1810032O08Rik",180,327,388,344,346,292,398,412
"1810034E14Rik",45,94,79,86,118,112,138,128
"1810037I17Rik",863,1587,1745,1684,1656,1622,1646,1726
"1810041H14Rik",0,0,2,0,0,0,1,1
"1810041L15Rik",115,151,112,165,117,71,39,121
"1810043G02Rik",425,794,779,735,767,825,856,771
"1810043H04Rik",132,259,309,277,257,300,291,281
"1810044D09Rik",15,15,19,21,15,12,23,15
"1810046K07Rik",1,1,2,0,1,0,1,2
"1810053B23Rik",2,2,3,2,0,2,2,2
"1810055G02Rik",1332,2186,2552,2576,2224,2104,2230,2318
"1810058I24Rik",1091,2636,2382,2224,2424,3077,3107,2613
"1810062G17Rik",7,26,24,26,19,18,21,19
"1810062O18Rik",1,5,7,5,6,7,6,5
"1810065E05Rik",0,0,0,0,0,2,3,1
"2010001A14Rik",34,102,116,77,101,112,123,127
"2010001E11Rik",0,0,1,0,0,1,1,0
"2010003K11Rik",1,1,3,2,2,1,0,2
"2010005H15Rik",2,0,2,3,1,4,5,7
"2010009K17Rik",0,2,0,1,1,2,0,1
"2010010A06Rik",0,1,3,0,1,0,0,0
"2010012O05Rik",342,624,601,648,688,685,677,675
"2010107E04Rik",1165,2234,2630,2403,2117,2055,1968,2181
"2010107G12Rik",2,3,5,2,9,7,8,6
"2010107G23Rik",74,174,120,124,159,188,197,190
"2010111I01Rik",2174,3718,5268,4191,4269,4347,4692,4600
"2010204K13Rik",47,49,69,72,63,60,53,61
"2010308F09Rik",0,0,1,1,0,0,1,1
"2010310C07Rik",1,0,1,4,0,2,2,2
"2010315B03Rik",72,215,167,189,147,252,245,242
"2010320M18Rik",57,92,104,110,118,117,148,132
"2200002D01Rik",175,297,451,317,340,270,283,314
"2210010C04Rik",9,19,18,13,18,34,33,25
"2210011C24Rik",57,64,85,75,85,89,64,68
"2210013O21Rik",679,1131,1457,1339,1136,1070,1055,1206
"2210015D19Rik",219,340,390,429,364,356,379,386
"2210016F16Rik",74,118,150,142,123,129,130,133
"2210016L21Rik",497,1064,1183,1042,1035,1085,1135,1058
"2210018M11Rik",335,904,509,718,804,787,718,695
"2210039B01Rik",0,1,0,0,0,1,1,0
"2210404O09Rik",16,61,37,42,70,71,68,64
"2210406O10Rik",7,6,5,7,5,6,6,5
"2210408F21Rik",25,65,73,58,61,97,100,100
"2210408I21Rik",85,186,159,166,184,157,142,192
"2210409D07Rik",6,8,9,7,12,8,3,3
"2210409E12Rik",0,0,1,0,1,0,0,1
"2210416O15Rik",8,10,31,15,15,13,14,15
"2300005B03Rik",0,1,0,0,1,0,1,0
"2300009A05Rik",57,123,101,110,126,98,133,152
"2310001H17Rik",29,63,59,52,62,64,57,59
"2310002F09Rik",3,12,13,4,14,26,20,14
"2310002L09Rik",12,24,49,25,43,26,14,40
"2310007B03Rik",2,3,4,4,2,1,1,4
"2310008N11Rik",1,3,2,2,2,1,0,0
"2310009A05Rik",102,189,224,205,224,266,221,218
"2310009B15Rik",235,387,412,411,349,383,407,406
"2310010G23Rik",19,35,52,46,33,37,31,38
"2310010J17Rik",15,34,23,23,35,29,27,26
"2310011J03Rik",767,1661,1702,1491,1485,1533,1620,1636
"2310015A10Rik",129,298,375,321,326,286,279,336
"2310020H05Rik",13,16,12,15,20,18,13,12
"2310022A10Rik",716,1286,1439,1368,1317,1214,1147,1140
"2310022B05Rik",4630,9043,10147,8943,8942,9707,8427,8334
"2310030G06Rik",94,168,140,175,188,164,147,164
"2310033P09Rik",212,336,380,375,309,289,265,293
"2310034G01Rik",1,11,12,8,8,12,12,13
"2310034O05Rik",0,1,0,0,2,1,1,4
"2310035C23Rik",832,1647,1491,1752,1833,1853,1721,1755
"2310036O22Rik",3362,5959,6706,6384,5886,5571,6579,6448
"2310039H08Rik",53,135,140,122,155,130,162,144
"2310039L15Rik",5,12,14,5,14,4,5,8
"2310040G24Rik",2,4,9,6,2,4,3,7
"2310043L19Rik",47,55,80,95,52,47,39,62
"2310045N01Rik",517,914,832,795,782,1036,1069,827
"2310047M10Rik",283,582,690,615,549,612,632,555
"2310057J18Rik",1,1,0,1,0,0,1,0
"2310057M21Rik",305,514,582,559,570,530,483,551
"2310061I04Rik",320,604,692,588,539,586,592,557
"2310065F04Rik",12,24,25,27,21,18,8,12
"2310067B10Rik",810,1657,1493,1415,1571,1659,1701,1490
"2310068J16Rik",0,2,7,1,5,0,3,5
"2310069B03Rik",1,3,3,3,6,5,5,3
"2410002F23Rik",920,1461,1587,1585,1534,1294,1396,1479
"2410004B18Rik",389,649,662,684,595,637,611,648
"2410004P03Rik",1,1,2,3,0,0,0,0
"2410006H16Rik",1031,2274,2143,2117,2048,2201,3050,3024
"2410012E07Rik",10,19,18,19,38,35,19,18
"2410015M20Rik",843,1674,2037,1673,1628,1503,1670,1663
"2410016O06Rik",316,628,630,584,584,537,546,625
"2410018L13Rik",2,4,2,4,3,3,5,3
"2410021H03Rik",1,8,3,5,2,1,2,2
"2410089E03Rik",868,2464,1548,2011,2329,2470,2421,2187
"2410127L17Rik",275,636,502,575,564,614,511,560
"2410131K14Rik",280,570,553,489,567,522,612,577
"2500002B13Rik",61,106,120,107,130,160,162,129
"2500004C02Rik",24,49,51,50,47,32,34,40
"2510002D24Rik",100,200,216,190,193,185,161,166
"2510003B16Rik",1,4,2,2,2,3,6,4
"2510009E07Rik",825,1975,1493,1954,2002,1970,1630,1643
"2510039O18Rik",1721,3474,3280,3180,3325,3791,3744,3536
"2610001J05Rik",889,1662,1999,1851,1685,1587,1777,1829
"2610002M06Rik",387,985,657,839,917,940,855,765
"2610005L07Rik",202,202,226,262,245,208,310,256
"2610008E11Rik",372,1037,627,789,730,771,631,775
"2610015P09Rik",88,304,152,222,255,330,273,277
"2610016A17Rik",0,3,5,0,1,3,1,4
"2610020C07Rik",11,14,11,14,12,20,19,19
"2610020H08Rik",91,130,116,158,135,119,125,147
"2610027K06Rik",0,0,1,0,2,0,0,2
"2610028E06Rik",0,2,0,1,1,3,6,1
"2610028H24Rik",0,2,2,4,5,2,3,3
"2610035D17Rik",15,32,21,34,17,19,22,29
"2610037D02Rik",0,3,3,0,1,4,3,1
"2610044O15Rik8",135,255,221,242,255,263,262,256
"2610203C22Rik",11,11,3,12,13,5,6,7
"2610206C17Rik",6,6,13,19,11,10,8,21
"2610301B20Rik",727,1311,1473,1480,1442,1424,1346,1494
"2610305D13Rik",0,0,1,1,0,0,0,1
"2610306M01Rik",48,95,88,80,81,88,93,82
"2610307P16Rik",60,78,115,116,97,84,137,135
"2610316D01Rik",17,29,13,18,35,45,30,21
"2610318N02Rik",27,38,59,51,49,45,38,32
"2610507B11Rik",4759,9565,9835,9618,9868,9613,10027,9566
"2610507I01Rik",3,2,17,16,6,4,19,9
"2610524H06Rik",91,194,228,191,192,206,240,229
"2610528A11Rik",178,237,87,233,289,54,49,219
"2700029M09Rik",803,1229,1207,1481,1300,1097,918,1178
"2700038G22Rik",16,35,57,62,29,17,28,36
"2700046G09Rik",9,11,20,18,14,13,17,22
"2700049A03Rik",278,715,432,599,657,535,465,475
"2700054A10Rik",18,48,31,41,45,38,38,34
"2700060E02Rik",3301,6403,7371,6567,6226,6394,6496,6591
"2700062C07Rik",264,476,520,532,484,485,554,596
"2700069I18Rik",11,18,14,21,8,11,15,11
"2700070H01Rik",15,32,22,22,31,33,37,19
"2700081O15Rik",1131,2105,1988,2120,2059,1861,1844,1966
"2700094K13Rik",357,546,668,686,555,335,354,488
"2700097O09Rik",124,211,200,208,232,270,222,201
"2700099C18Rik",132,172,139,230,142,83,61,133
"2810001G20Rik",41,75,105,89,59,77,87,68
"2810002D19Rik",57,113,118,121,108,126,126,125
"2810004N23Rik",639,1124,1315,1238,1283,1139,1130,1208
"2810006K23Rik",335,577,608,629,600,584,566,515
"2810013P06Rik",38,128,180,157,150,127,207,189
"2810021J22Rik",174,329,305,380,339,346,382,349
"2810025M15Rik",1028,1586,1802,1816,1600,1324,1200,1366
"2810029C07Rik",9,12,35,25,18,13,19,16
"2810047C21Rik1",12,15,13,11,14,17,16,14
"2810403A07Rik",1075,2222,2956,2762,2340,2443,2592,2721
"2810403D21Rik",22,72,66,39,56,89,81,71
"2810404M03Rik",3,1,3,3,2,0,1,0
"2810405F15Rik",1,4,1,4,4,1,4,4
"2810408A11Rik",89,177,146,147,175,135,138,117
"2810408I11Rik",33,52,36,60,39,59,44,43
"2810410L24Rik",40,50,122,103,51,46,90,82
"2810417H13Rik",1594,1770,1725,2489,1742,748,518,1313
"2810428I15Rik",711,1456,1531,1411,1413,1527,1713,1472
"2810433D01Rik",11,40,25,26,39,35,29,28
"2810442N19Rik",2,1,0,2,1,1,3,2
"2810454H06Rik",5,13,16,21,14,18,22,22
"2810468N07Rik",46,84,102,113,79,44,26,73
"2810474O19Rik",364,1133,898,804,982,1026,955,1258
"2900005J15Rik",0,1,4,2,1,6,7,2
"2900008C10Rik",6,14,11,9,16,12,18,12
"2900009J06Rik",1,1,0,0,2,0,0,0
"2900011O08Rik",3,4,4,7,4,5,3,1
"2900026A02Rik",1839,3073,3044,3221,3016,2749,2542,2591
"2900041M22Rik",27,38,51,51,52,49,40,35
"2900057B20Rik",15,13,22,20,14,10,10,13
"2900076A07Rik",42,89,109,107,85,84,118,119
"2900079G21Rik",3,7,5,5,4,8,3,2
"2900097C17Rik",4490,6143,6037,6893,6653,7312,6687,7073
"3000002C10Rik",35,59,105,64,67,81,98,83
"3010001F23Rik",11,23,19,14,25,25,19,23
"3010026O09Rik",134,226,280,252,239,226,229,211
"3110001I22Rik",87,145,114,156,160,146,138,154
"3110002H16Rik",551,1195,1189,1025,1243,1286,1440,1256
"3110009E18Rik",56,113,98,103,101,110,101,90
"3110015C05Rik",1,1,0,1,1,2,1,2
"3110021A11Rik",1,1,7,7,1,2,3,5
"3110021N24Rik",25,48,37,41,54,40,47,48
"3110035E14Rik",3,2,1,4,3,1,1,2
"3110039I08Rik",317,1138,714,1060,1019,1220,1257,1249
"3110040N11Rik",218,430,485,439,402,432,375,421
"3110043O21Rik",618,1184,1312,1229,1291,1227,1398,1548
"3110045C21Rik",1,3,6,3,9,13,9,5
"3110052M02Rik",5,20,12,16,13,19,14,24
"3110056K07Rik",21,49,85,73,59,49,69,73
"3110057O12Rik",53,169,120,135,168,160,144,191
"3110062M04Rik",104,151,158,169,182,150,168,175
"3110070M22Rik",2,4,3,4,4,0,4,3
"3110082I17Rik",294,544,677,646,555,485,618,626
"3110082J24Rik",1,5,1,0,0,0,1,0
"3200001D21Rik",13,21,19,17,18,22,36,24
"3300002I08Rik",11,32,40,36,32,36,39,47
"3300002P13Rik",10,20,41,19,19,27,19,24
"3300005D01Rik",552,1261,1035,983,1288,1467,1520,1346
"3425401B19Rik",27,49,43,42,92,89,78,55
"3632451O06Rik",19,23,46,32,31,18,9,41
"3830403N18Rik",451,1135,810,1007,1053,1212,930,993
"3830406C13Rik",278,571,446,534,586,681,531,567
"3830408C21Rik",14,21,21,17,25,18,16,21
"3830417A13Rik",9,8,22,16,9,10,8,16
"3830432H09Rik",1,1,3,3,2,2,1,0
"3930402G23Rik",1,2,2,1,1,0,0,1
"4430402I18Rik",0,1,5,5,8,4,5,6
"4631405J19Rik",6,14,7,9,11,9,3,11
"4632404H12Rik",27,63,86,70,53,72,118,99
"4632415L05Rik",231,596,678,746,603,712,838,782
"4632427E13Rik",2,8,15,5,11,11,15,8
"4632428C04Rik",5,10,8,10,10,19,17,16
"4632428N05Rik",1027,3255,2637,2308,3060,3942,4661,3436
"4732416N19Rik",0,0,0,2,0,1,1,2
"4732471J01Rik",9,6,16,12,10,19,18,12
"4732491K20Rik",44,51,71,70,79,94,96,78
"4831440E17Rik",4,11,28,18,10,14,11,24
"4833412C05Rik",0,0,1,0,1,0,1,0
"4833415N18Rik",54,186,88,111,176,265,173,86
"4833417C18Rik",7,11,8,10,12,12,22,15
"4833418N02Rik",45,71,76,83,82,91,86,70
"4833419F23Rik",7,24,24,21,36,37,50,33
"4833420G17Rik",185,403,391,414,405,388,443,423
"4833422C13Rik",26,38,25,31,28,20,18,33
"4833427F10Rik",0,1,2,0,2,1,0,4
"4833427G06Rik",66,113,98,117,110,117,99,122
"4833439L19Rik",4032,7385,8259,7500,7229,7367,7426,7234
"4921507L20Rik",12,26,21,26,30,23,21,39
"4921507P07Rik",1,2,0,1,0,1,0,0
"4921509O07Rik",0,1,1,1,0,0,0,2
"4921511C10Rik",2,3,1,2,1,3,1,1
"4921513I03Rik",2,1,1,4,2,1,1,2
"4921524J17Rik",772,1600,1708,1869,1713,1659,1484,1770
"4921525O09Rik",65,134,96,96,124,126,90,79
"4921531C22Rik",23,47,55,46,47,45,40,45
"4921536K21Rik",34,71,58,61,72,82,86,84
"4930402H24Rik",716,1468,1293,1447,1640,1477,1613,1453
"4930404H11Rik",1,7,2,2,2,3,5,0
"4930404I05Rik",9,12,10,21,18,18,25,16
"4930404N11Rik",296,416,487,441,443,471,463,471
"4930405A21Rik",9,7,12,19,11,4,6,5
"4930405O22Rik",1,1,2,3,2,1,0,1
"4930407I10Rik",1,0,1,2,0,0,0,0
"4930412B13Rik",0,1,0,0,4,2,0,3
"4930412C18Rik",2,1,2,2,4,3,1,1
"4930413G21Rik",64,140,135,125,148,129,145,155
"4930414N06Rik",1,0,1,0,1,1,0,2
"4930415O20Rik",13,16,12,16,16,16,24,15
"4930417O13Rik",0,3,0,1,1,0,0,2
"4930426L09Rik",14,20,45,25,25,12,15,15
"4930427A07Rik",474,597,523,683,610,333,273,488
"4930429B21Rik",25,19,51,44,26,29,25,30
"4930429F24Rik",39,73,61,67,69,87,58,71
"4930430F08Rik",170,464,340,393,394,448,411,447
"4930432K21Rik",31,46,44,44,45,59,49,56
"4930443O20Rik",1,8,3,6,4,7,8,8
"4930444M15Rik",0,0,0,0,1,1,1,1
"4930445N18Rik",0,0,1,2,7,1,2,2
"4930447C04Rik",0,1,7,3,3,2,7,3
"4930447F24Rik",114,192,128,167,161,161,108,160
"4930447K03Rik",0,1,0,0,1,2,2,1
"4930451G09Rik",20,19,13,27,23,28,19,21
"4930452A19Rik",2,0,0,2,1,1,0,1
"4930452B06Rik",15,8,6,18,19,15,10,13
"4930453N24Rik",585,1091,1058,1147,1097,1049,952,1154
"4930455C13Rik",4,2,5,6,1,1,4,3
"4930461G14Rik",1,1,2,1,0,2,0,1
"4930465K10Rik",4,1,1,5,3,1,2,6
"4930467D21Rik",3,2,1,3,3,1,1,0
"4930473A02Rik",5,5,12,10,9,12,12,12
"4930474M22Rik",1,0,2,5,0,0,1,0
"4930479D17Rik",3,3,2,0,6,2,1,1
"4930480K23Rik",15,25,28,32,28,22,26,27
"4930481A15Rik",0,1,2,0,1,0,1,2
"4930483J18Rik",0,4,1,1,0,2,0,2
"4930483K19Rik",0,0,1,1,0,2,4,1
"4930483O08Rik",1,0,3,0,0,0,0,2
"4930486L24Rik",14,24,39,28,41,31,26,36
"4930487H11Rik",2,8,1,4,10,11,10,12
"4930488L21Rik",0,0,1,0,1,1,1,0
"4930502E18Rik",0,1,1,0,0,0,2,0
"4930503B20Rik",0,0,2,1,1,1,1,1
"4930503E14Rik",0,0,1,0,0,0,1,2
"4930503L19Rik",174,487,316,362,419,404,366,431
"4930505A04Rik",2,3,3,2,6,2,1,3
"4930506C21Rik",6,14,11,12,14,21,17,11
"4930507D05Rik",3,3,6,6,2,2,4,1
"4930509E16Rik",1,0,1,2,1,0,0,0
"4930511M06Rik",3,2,4,5,1,3,0,3
"4930512B01Rik",2,0,3,2,1,2,1,2
"4930513N10Rik",15,33,21,31,28,23,30,25
"4930515B02Rik",1,0,1,1,0,0,0,1
"4930515G01Rik",12,27,51,28,39,45,34,33
"4930519G04Rik",1,0,2,1,0,0,0,0
"4930520O04Rik",9,12,27,24,15,8,19,20
"4930521E06Rik",0,1,1,0,1,2,1,0
"4930523C07Rik",118,219,225,214,230,187,179,179
"4930525G20Rik",1,1,1,1,0,0,1,1
